"","expr","time"
"1","trlan.svd.sp",3329805404
"2","irlba.sp",1846785202
"3","svds.sp0",330497264
"4","svds",441867779
"5","propack.svd.sp",1734385608
"6","propack.svd.sp",1731523037
"7","irlba.sp",1821983692
"8","svds.sp",344751610
"9","svds.sp",341842588
"10","svds.sp0",333250406
"11","propack.svd",627907683
"12","svds.sp",348135867
"13","trlan.svd",1199774353
"14","irlba.sp",1877418157
"15","svds",441982567
"16","svd0",1530850473
"17","irlba.sp",2001155481
"18","svds",440371506
"19","svds.sp",344963769
"20","propack.svd",626992947
"21","irlba.sp",1834629658
"22","svd0",1533541979
"23","svds",449109293
"24","propack.svd.sp",1796438067
"25","svds0",417611180
"26","propack.svd",629972987
"27","svd0",1536359438
"28","svds",442804847
"29","propack.svd.sp",1727714017
"30","svds0",419953406
"31","svds.sp",345798555
"32","irlba",1278640456
"33","svds.sp0",329144364
"34","svds",441780682
"35","propack.svd",643024955
"36","svd0",1531854987
"37","svds",444429755
"38","svds",443075517
"39","svds.sp",341728246
"40","svd0",1526574706
"41","propack.svd.sp",1731930828
"42","trlan.svd.sp",3309719166
"43","propack.svd.sp",1726758189
"44","svds",443556558
"45","svds0",414380124
"46","svd0",1528114303
"47","svds0",416549943
"48","trlan.svd",1170049436
"49","propack.svd.sp",1725492386
"50","propack.svd.sp",1730404182
"51","svd0",1526008801
"52","svd",4685549485
"53","propack.svd.sp",1734883176
"54","svds0",416044337
"55","svds",445301167
"56","propack.svd",621454950
"57","trlan.svd.sp",3360948432
"58","irlba.sp",1996094057
"59","propack.svd.sp",1728277687
"60","svds",444474866
"61","irlba",1195900122
"62","svds",444675412
"63","trlan.svd.sp",3341104724
"64","svds.sp",346055378
"65","svds0",416259175
"66","propack.svd",629750556
"67","propack.svd",634210790
"68","trlan.svd",1182855748
"69","svds.sp0",330143518
"70","trlan.svd",1171242434
"71","propack.svd",633605135
"72","svds0",413647173
"73","svds.sp0",333531795
"74","trlan.svd.sp",3267288432
"75","irlba",1266355830
"76","svds",440575177
"77","svds.sp0",328230521
"78","propack.svd.sp",1698296840
"79","propack.svd",628051058
"80","svd",4643407734
"81","irlba.sp",1878584803
"82","svds0",415868804
"83","irlba",1275814509
"84","svds.sp0",330333344
"85","svds.sp0",329087194
"86","svd0",1533473641
"87","svds.sp",342697026
"88","svd",4671880695
"89","svds.sp",344840493
"90","trlan.svd.sp",3258427815
"91","trlan.svd",1167014458
"92","svds0",416083195
"93","irlba.sp",1948180711
"94","svd",4667671924
"95","svds.sp0",328608386
"96","svds",443000480
"97","trlan.svd",1172746748
"98","irlba",1255560777
"99","irlba.sp",1753290015
"100","svds",438454489
"101","irlba",1364701175
"102","trlan.svd.sp",3310126509
"103","irlba",1322170392
"104","trlan.svd.sp",3369051980
"105","svd0",1529766904
"106","svds",442326040
"107","svd0",1532974735
"108","trlan.svd",1168349044
"109","trlan.svd",1166905029
"110","trlan.svd",1169166858
"111","svd",4616108564
"112","svd",4692626187
"113","propack.svd",624027647
"114","irlba.sp",1895253287
"115","irlba",1291738876
"116","svds.sp0",332012743
"117","svd0",1520532442
"118","propack.svd",631650600
"119","svds.sp0",330867982
"120","irlba",1277590384
"121","trlan.svd",1174915673
"122","svd",4658938156
"123","svds0",418122593
"124","svds",444648613
"125","irlba.sp",1757793128
"126","propack.svd.sp",1727245036
"127","propack.svd",623710079
"128","propack.svd.sp",1729117834
"129","trlan.svd",1168163238
"130","trlan.svd.sp",3301187282
"131","trlan.svd",1175783958
"132","svd",4664564589
"133","svds0",419377676
"134","svds",446207864
"135","svds.sp",345473395
"136","svds.sp",344722578
"137","propack.svd",623752511
"138","svd0",1527001701
"139","propack.svd",622942737
"140","propack.svd.sp",1728080269
"141","trlan.svd",1170527796
"142","svd",4682640016
"143","irlba.sp",1950655145
"144","svds0",415802253
"145","irlba",1331465598
"146","svds0",415732576
"147","propack.svd",622216486
"148","irlba",1389011370
"149","svd0",1522262312
"150","irlba.sp",1920375043
"151","svds0",416112228
"152","svds0",417192224
"153","svd",4599733083
"154","svds.sp",343665361
"155","irlba",1287095516
"156","trlan.svd.sp",3305442504
"157","trlan.svd",1166889843
"158","svds.sp",349079636
"159","svd",4599680379
"160","svds.sp0",333565293
"161","svds.sp0",330911307
"162","trlan.svd",1173239847
"163","trlan.svd.sp",3309720953
"164","irlba.sp",1901402746
"165","svds.sp",345370219
"166","svd0",1525495602
"167","svd",4618639277
"168","trlan.svd",1175505249
"169","propack.svd",639643378
"170","irlba.sp",1845166101
"171","svds.sp0",332598299
"172","svds.sp",344227245
"173","svd0",1529689186
"174","irlba",1431694461
"175","propack.svd",623759657
"176","trlan.svd",1167031431
"177","svds.sp",345515379
"178","svds",441799888
"179","propack.svd.sp",1730287607
"180","irlba",1318309113
"181","propack.svd",623983875
"182","irlba",1272700475
"183","svd",4614202715
"184","trlan.svd.sp",3317944648
"185","svds",442793681
"186","svd0",1524637144
"187","trlan.svd.sp",3361513443
"188","svds.sp0",330064461
"189","trlan.svd.sp",3368021114
"190","svd",4587802203
"191","irlba",1402964229
"192","propack.svd.sp",1723940282
"193","trlan.svd",1199018178
"194","irlba",1303072587
"195","trlan.svd.sp",3309011227
"196","svd0",1525025727
"197","irlba.sp",1941812841
"198","irlba.sp",2072638926
"199","svds0",417474059
"200","svd0",1534380338
"201","svd0",1523957344
"202","svds0",416656692
"203","svds.sp0",332496463
"204","svd",4621316042
"205","svd",4599994373
"206","svds.sp",345359946
"207","trlan.svd.sp",3309514601
"208","svds.sp0",331636664
"209","propack.svd.sp",1737823910
"210","propack.svd.sp",1728153966
"211","irlba.sp",2012235049
"212","svds.sp",346268877
"213","trlan.svd.sp",3307865574
"214","trlan.svd.sp",3312019406
"215","svds.sp",347707531
"216","svds0",416874656
"217","svd",4585619431
"218","svd",4649354861
"219","trlan.svd.sp",3311353900
"220","propack.svd",624559605
"221","irlba",1404001348
"222","irlba",1369190888
"223","svds.sp0",330268133
"224","svd",4693986233
"225","svds.sp0",333250852
"226","propack.svd",627444955
"227","svds0",417438328
"228","trlan.svd.sp",3310185467
"229","propack.svd.sp",1726876997
"230","svds.sp0",331558948
"231","svd",4602707317
"232","propack.svd.sp",1732740601
"233","trlan.svd",1170739061
"234","irlba.sp",1918073015
"235","svds.sp",344402777
"236","trlan.svd",1171087447
"237","svds0",422966945
"238","irlba.sp",1824591228
"239","svd0",1524442851
"240","irlba",1394759739
